invoice_account,bin,product_accounting,processor_accounting,iad_accounting,product_actual,processor_actual,iad_actual,settlement_entity
10067784-826-0,1000696565,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,3149833767,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,3191517597,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,3198200269,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,3201793929,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,3309435175,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,3412920841,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,3579253664,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,3586744038,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,3653948646,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,3688217679,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,3697770661,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,3743670139,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,3785221801,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,9000469975,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,9000469976,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,9000469977,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,9000469978,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,9000469979,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,9000469980,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,9000524984,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10067784-826-0,9000524985,ACQ,Cashflows,Cashflows,ACQ,Cashflows,Cashflows,Cashflows
10079833-528-0,481064,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,10079833,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,10079833528,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,1000702426,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,9000564884,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,1000702428,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,1000702430,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,1000702440,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,1000702442,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,1000702444,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,1000702447,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,1000702449,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,1000702452,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,9000564879,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,9000564880,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,9000564881,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,9000564882,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,9000564883,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
10079833-528-0,9000564891,ACQ,PayCheckout,PayCheckout,ACQ,Paycheckout,Paycheckout,Paycheckout
